trial,val_mae,val_mse,val_high_mae,val_high_mse,combined_score,status,param_asymmetric_alpha,param_high_value_threshold,param_high_activity_ratio,param_weight_power
5,0.022327851504087448,0.0007933663021373961,0.02903506835961404,0.0013303971175749514,0.02702290330295606,success,6.0,0.25,0.5,3.0
13,0.024337521000277428,0.0009573084950846221,0.030618678691098467,0.0014542543570617756,0.028734331383852153,success,6.0,0.3,0.5,2.5
66,0.01896000684549411,0.0005682378971306164,0.03591404457013899,0.0021304667022074377,0.030827833252745525,success,14.0,0.3,0.4,3.5
51,0.02537846254805724,0.0010544773540459573,0.03712218317377847,0.0020071348521923937,0.0335990669860621,success,10.0,0.35,0.5,3.5
22,0.028636170107693898,0.001357749797448161,0.037894181781060375,0.0023362874646106016,0.03511677827905043,success,6.0,0.35,0.5,2.5
49,0.024030552999604316,0.0009231763764373248,0.04259738532709889,0.00319185687673477,0.037027335628850515,success,10.0,0.35,0.5,2.5
41,0.02866446271183945,0.0013608370763471438,0.04385917147737928,0.003485015783326162,0.03930075884771733,success,10.0,0.3,0.5,3.0
21,0.035813793628698305,0.0020866358564013525,0.045045016158837825,0.0031781451951170916,0.04227564939979597,success,6.0,0.35,0.4,3.5
42,0.03346086869991961,0.0018315243678877042,0.04622111760545522,0.003401607514509427,0.042393042933794534,success,10.0,0.3,0.5,3.5
50,0.03234071949762957,0.0017113470904795186,0.051825547425930076,0.004542320359481285,0.045980099047439923,success,10.0,0.35,0.5,3.0
4,0.03982967652735256,0.0028063870101634946,0.048959964459451534,0.0037040270023377766,0.046220878079821844,success,6.0,0.25,0.5,2.5
17,0.04003019613169488,0.002666646958373132,0.05052508997808521,0.003951233977052955,0.04737662182416811,success,6.0,0.3,0.6,3.0
27,0.04314883496789705,0.0031006033532321453,0.05462320942509299,0.005141621171484682,0.051180897087934205,success,6.0,0.35,0.6,3.5
32,0.038417793810367584,0.0023598408304332267,0.05857192288385704,0.005616768566724772,0.0525256841618102,success,10.0,0.25,0.5,3.0
14,0.04473539566000303,0.0032628416859855256,0.05771538084566904,0.005521474570286955,0.053821385289969235,success,6.0,0.3,0.5,3.0
8,0.05072516327102979,0.004159099289349147,0.05543093493906781,0.00492987252603901,0.054019203438656405,success,6.0,0.25,0.6,3.0
33,0.04831315754424958,0.003702921582208503,0.06025698707283785,0.005647268198382942,0.05667383821426137,success,10.0,0.25,0.5,3.5
58,0.04813373514584133,0.003817323839203233,0.06616001529619098,0.006501103795017116,0.060752131251086076,success,14.0,0.25,0.5,2.5
40,0.04819642450837862,0.0038440391266097627,0.07038535824782836,0.00833547908117301,0.06372867812599343,success,10.0,0.3,0.5,2.5
53,0.048459899567422415,0.003801660213087286,0.07300330949753213,0.008968174431174702,0.06564028651849921,success,10.0,0.35,0.6,3.0
59,0.04793088049406097,0.0037720995245590096,0.07404406021426742,0.008137211258144816,0.06621010629820548,success,14.0,0.25,0.5,3.0
52,0.05622749757908639,0.005214285593302477,0.0748008491160969,0.008288911563946991,0.06922884365499374,success,10.0,0.35,0.6,2.5
26,0.05181265267587844,0.004401845935111244,0.07989432635561873,0.01005215076050566,0.07146982425169664,success,6.0,0.35,0.6,3.0
25,0.06419636575239045,0.00677675006556369,0.08014662035081226,0.01038322588980615,0.07536154397128571,success,6.0,0.35,0.6,2.5
23,0.060916329423586525,0.006036986630143864,0.08534009481081739,0.012660821045756165,0.07801296519464812,success,6.0,0.35,0.5,3.0
